gbifID,family,species,lon,lat,year,country,institutionCode,identificationVerificationStatus
2957385954,Alcyoniidae,Alcyonium digitatum,1.854828,52.8672,2016,United Kingdom,Seasearch,Accepted - considered correct
2957403703,Alcyoniidae,Alcyonium digitatum,-0.109116,50.79351,2016,United Kingdom,Seasearch,Accepted - considered correct
2957439723,Alcyoniidae,Alcyonium digitatum,-1.449368,55.07704,2016,United Kingdom,Seasearch,Accepted - considered correct
2957441103,Alcyoniidae,Alcyonium digitatum,-2.289343,50.61417,2016,United Kingdom,Seasearch,Accepted - considered correct
2957518922,Alcyoniidae,Alcyonium digitatum,-1.619208,55.6385,2016,United Kingdom,Seasearch,Accepted - considered correct
2957557633,Alcyoniidae,Alcyonium digitatum,1.139868,52.94978,2016,United Kingdom,Seasearch,Accepted - considered correct
2957607201,Alcyoniidae,Alcyonium digitatum,-4.124378,50.30557,2016,United Kingdom,Seasearch,Accepted - considered correct
2957635560,Alcyoniidae,Alcyonium digitatum,-2.615381,50.63402,2016,United Kingdom,Seasearch,Accepted - considered correct
2957647988,Alcyoniidae,Alcyonium digitatum,1.146503,52.94988,2016,United Kingdom,Seasearch,Accepted - considered correct
2957726671,Alcyoniidae,Alcyonium digitatum,-1.942141,50.58125,2016,United Kingdom,Seasearch,Accepted - considered correct
2957737159,Alcyoniidae,Alcyonium digitatum,-6.274849,49.92269,2016,United Kingdom,Seasearch,Accepted - considered correct
2957743295,Alcyoniidae,Alcyonium digitatum,-3.890857,50.23825,2016,United Kingdom,Seasearch,Accepted - considered correct
2957860954,Alcyoniidae,Alcyonium digitatum,-5.143309,56.67868,2016,United Kingdom,Seasearch,Accepted - considered correct
2957863955,Alcyoniidae,Alcyonium digitatum,-2.859242,50.70338,2016,United Kingdom,Seasearch,Accepted - considered correct
2957892805,Alcyoniidae,Alcyonium digitatum,1.141445,52.95108,2016,United Kingdom,Seasearch,Accepted - considered correct
2957900741,Alcyoniidae,Alcyonium digitatum,1.141276,52.94967,2016,United Kingdom,Seasearch,Accepted - considered correct
2957907968,Alcyoniidae,Alcyonium digitatum,-2.267521,50.54011,2016,United Kingdom,Seasearch,Accepted - considered correct
2957926117,Alcyoniidae,Alcyonium digitatum,-1.321021,54.90065,2016,United Kingdom,Seasearch,Accepted - considered correct
3019102943,Alcyoniidae,Alcyonium digitatum,-3.95018,47.72094,2016,France,BioObs,"Probable, high degree of reliability"
3019180802,Alcyoniidae,Alcyonium digitatum,-4.45359,48.32241,2016,France,BioObs,"Probable, high degree of reliability"
3019264288,Alcyoniidae,Alcyonium digitatum,-4.37802,47.82213,2016,France,BioObs,"Probable, high degree of reliability"
3019344294,Alcyoniidae,Alcyonium digitatum,-4.32923,47.67485,2016,France,BioObs,"Probable, high degree of reliability"
3019352270,Alcyoniidae,Alcyonium digitatum,-4.51036,48.35596,2016,France,BioObs,"Probable, high degree of reliability"
