species,lon,lat
Eunicella verrucosa,-3.4823699999999977,47.65956999623557
Eunicella verrucosa,-4.043700000000002,47.719629996254234
Eunicella verrucosa,-2.978279999999992,48.84764999658922
Eunicella verrucosa,-1.7038799999999994,46.093099995716585
Eunicella verrucosa,-3.5376000000000034,47.663079996236675
Eunicella verrucosa,-1.8655199999999967,48.905369996605515
Eunicella verrucosa,-2.341100000000001,46.691999995922075
Eunicella verrucosa,-5.128859999999997,48.44809999647405
Eunicella verrucosa,-4.040980000000001,47.73208999625811
Eunicella verrucosa,-4.329229999999999,47.674849996240305
Eunicella verrucosa,-1.8784000000000067,48.88582999659998
Eunicella verrucosa,-2.138169999999999,48.668699996538145
Eunicella verrucosa,-4.6510400000000045,48.32035999643648
Eunicella verrucosa,-2.275379999999995,48.662029996536226
Eunicella verrucosa,-4.566670000000005,47.91252999631371
Eunicella verrucosa,-2.0710000000000006,48.679999996541426
Eunicella verrucosa,-5.1394,48.44599999647345
Eunicella verrucosa,-2.1646699999999934,48.70149999654756
Eunicella verrucosa,-2.0436999999999994,48.683239996542305
Eunicella verrucosa,-4.536579999999997,48.0901099963677
Eunicella verrucosa,-3.484999999999998,47.653999996233814
Eunicella verrucosa,-4.450660000000003,48.2016799964012
Eunicella verrucosa,-3.950179999999994,47.72093999625467
Eunicella verrucosa,-4.4122499999999985,48.15359999638675
Eunicella verrucosa,-1.7708999999999944,48.91174999660732
Eunicella verrucosa,-3.965859999999999,47.70235999624888
Eunicella verrucosa,-1.658329999999995,49.67160999681457
Eunicella verrucosa,-1.8793299999999977,48.889369996601054
Eunicella verrucosa,-2.6190399999999947,47.40938999615667
Eunicella verrucosa,-2.195210000000002,48.63123999652734
Eunicella verrucosa,-2.0449900000000016,48.68371999654244
Eunicella verrucosa,-1.7353499999999975,48.90129999660439
Eunicella verrucosa,-4.37484,47.79276999627691
Eunicella verrucosa,-4.625929999999994,48.31561999643511
Eunicella verrucosa,-4.529899999999999,48.34357999644335
Eunicella verrucosa,-1.8460000000000067,48.86541999659424
Eunicella verrucosa,-2.2513900000000016,48.70777999654936
Eunicella verrucosa,-4.5085299999999995,48.363729996449294
Eunicella verrucosa,-3.901169999999998,48.6946399965456
Eunicella verrucosa,-2.047170000000002,48.68741999654348
Eunicella verrucosa,-5.135119999999994,48.447879996474036
Eunicella verrucosa,-4.240039999999998,47.78481999627447
Eunicella verrucosa,-4.864899999999997,48.05582999635731
Eunicella verrucosa,-1.6737399999999978,49.68507999681811
Eunicella verrucosa,-2.2268699999999977,48.64949999653261
Eunicella verrucosa,-3.0040299999999993,47.40771999615614
Eunicella verrucosa,-4.241460000000002,47.773649996270976
Eunicella verrucosa,-4.575920000000009,48.33871999644196
Eunicella verrucosa,-4.401060000000001,47.80643999628114
Eunicella verrucosa,-2.190419999999996,48.671039996538816
Eunicella verrucosa,-1.5996799999999964,46.25109999577164
Eunicella verrucosa,-5.121109999999998,48.45027999647477
Eunicella verrucosa,-1.8394199999999983,49.719529996827184
Eunicella verrucosa,-2.637420000000003,48.736559996557574
Eunicella verrucosa,-3.4280999999999966,47.64193999623002
